ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
3.06515	-0.0076125	3.24261	0.020606	3.06516	3.24267	-0.177462	-0.0282185	-0.177518	-5.47282	-136.943	-5.47444
3.16888	0.0035315	3.23524	0.018274	3.16888	3.23529	-0.0663611	-0.0147425	-0.0664107	-2.0512	-80.6747	-2.0527
3.14493	-0.02802	3.23088	0.016931	3.14505	3.23092	-0.0859514	-0.044951	-0.0858709	-2.66031	-265.495	-2.65778
3.07055	-0.0093227	3.22968	0.016045	3.07057	3.22972	-0.159126	-0.0253677	-0.159152	-4.927	-158.103	-4.92773
3.10255	-0.0094266	3.23205	0.013686	3.10256	3.23208	-0.129502	-0.0231126	-0.129517	-4.00682	-168.878	-4.00724
3.11595	0.0004998	3.23782	0.008453	3.11595	3.23783	-0.121867	-0.0079532	-0.121878	-3.76386	-94.0873	-3.76419
3.09029	0.0215295	3.24613	0.003397	3.09036	3.24613	-0.155844	0.0181325	-0.155771	-4.80092	533.78	-4.79866
3.11024	-0.009926	3.25635	-0.000411	3.11026	3.25635	-0.146109	-0.009515	-0.146093	-4.4869	2315.09	-4.48641
3.13779	-0.0283101	3.26988	-0.003121	3.13792	3.26988	-0.132092	-0.0251891	-0.131966	-4.03967	807.084	-4.0358
3.14443	-0.0710894	3.28808	-0.00532	3.14523	3.28809	-0.143654	-0.0657694	-0.142855	-4.36894	1236.27	-4.34463
3.15957	-0.0269777	3.30871	-0.006648	3.15969	3.30871	-0.149134	-0.0203297	-0.149025	-4.50732	305.802	-4.50403
3.19401	0.0836143	3.33187	-0.008842	3.19511	3.33188	-0.137861	0.0924563	-0.136779	-4.13765	-1045.65	-4.10514
3.27348	-0.0428812	3.35748	-0.012367	3.27376	3.3575	-0.0840043	-0.0305142	-0.0837462	-2.502	246.739	-2.4943
3.20677	0.0112093	3.38281	-0.012897	3.20679	3.38283	-0.176041	0.0241063	-0.176046	-5.204	-186.914	-5.20411
3.2337	-0.0139254	3.40771	-0.012681	3.23373	3.40773	-0.17401	-0.0012444	-0.174004	-5.10637	9.81311	-5.10614
3.21813	-0.0933269	3.4365	-0.015269	3.21948	3.43654	-0.218376	-0.0780579	-0.217057	-6.35459	511.218	-6.31615
